date,station_301,station_356,station_391,station_428,station_446,station_462,station_463,station_473,station_508,station_518,station_539,station_540,station_541,station_574,station_575,station_587,station_633,station_697,station_724,station_771,station_778,station_784,station_809,station_834,station_846,station_848,station_977,station_1049,station_1050,station_1051,station_1052,station_1067,station_1258
1979-04-25,,,,,,,,,,,,,,,,320,,,,,,,,,32,,,,,,,32,
1979-04-26,,,,,,,,,,,,,,,,323,,,,,,,,,32,,,,,,,32,
1979-04-27,,,,,,,,,,,,,,,,326,,,,,,,,,32,,,,,,,32,
1979-04-28,,,,,,,,,,,,,,,,328,,,,,,,,,,,,,,,,,
1979-04-29,,,,,,,,,,,,,,,,328,,,,,,,,,32,,,,,,,32,
1979-04-30,,,,,,,,,,,,,,,,330,,,,,,,,,32,,,,,,,32,
1979-05-01,,,,,,,,,,,,,,,,335,,,,,,,,,32,,,,,,,32,
1979-05-02,,,,,,,,,,,,,,,,337,,,,,,,,,32,,,,,,,32,
1979-05-03,,,,,,,,,,,,,,,,341,,,,,,,,,32,,,,,,,32,
1979-05-04,,,,,,,,,,,,,,,,348,,,,,,,,,32,,,,,,,32,
1979-05-05,,,,,,,,,,,,,,,,360,,,,,,,,,32,,,,,,,32,
1979-05-06,,,,,,,,,,,,,,,,362,,,,,,,,,32,,,,,,,32,
1979-05-07,,,,,,,,,,,,,,,,363,,,,,,,,,32,,,,,,,32,
1979-05-08,,,,,,,,,,,,,,,,370,,,,,,,,,32,,,,,,,32,
1979-05-09,,,,,,,,,,,,,,,,373,,,,,,,,,32,,,,,,,32,
1979-05-10,,,,,,,,,,,,,,,,380,,,,,,,,,32,,,,,,,32,
1979-05-11,,,,,,,,,,,,,,,,381,,,,,,,,,32,,,,,,,32,
1979-05-12,,,,,,,,,,,,,,,,383,,,,,,,,,32,,,,,,,32,
1979-05-13,,,,,,,,,,,,,,,,384,,,,,,,,,32,,,,,,,32,
1979-05-14,,,,,,,,,,,,,,,,386,,,,,,,,,32,,,,,,,32,
1979-05-15,,,,,,,,,,,,,,,,390,,,,,,,,,32,,,,,,,32,
1979-05-16,,,,,,,,,,,,,,,,392,,,,,,,,,32,,,,,,,32,
1979-05-17,,,,,,,,,,,,,,,,396,,,,,,,,,32,,,,,,,32,
1979-05-18,,,,,,,,,,,,,,,,403,,,,,,,,,32,,,,,,,32,
1979-05-19,,,,,,,,,,,,,,,,407,,,,,,,,,32,,,,,,,32,
1979-05-20,,,,,,,,,,,,,,,,418,,,,,,,,,32,,,,,,,32,
1979-05-21,,,,,,,,,,,,,,,,423,,,,,,,,,32,,,,,,,32,
1979-05-22,,,,,,,,,,,,,,,,426,,,,,,,,,32,,,,,,,32,
1979-05-23,,,,,,,,,,,,,,,,434,,,,,,,,,32,,,,,,,32,
1979-05-24,,,,,,,,,,,,,,,,437,,,,,,,,,32,,,,,,,32,
1979-05-25,,,,,,,,,,,,,,,,440,,,,,,,,,32,,,,,,,32,
1979-05-26,,,,,,,,,,,,,,,,442,,,,,,,,,32,,,,,,,32,
1979-05-27,,,,,,,,,,,,,,,,445,,,,,,,,,32,,,,,,,32,
1979-05-28,,,,,,,,,,,,,,,,452,,,,,,,,,32,,,,,,,32,
1979-05-29,,,,,,,,,,,,,,,,455,,,,,,,,,32,,,,,,,32,
1979-05-30,,,,,,,,,,,,,,,,458,,,,,,,,,32,,,,,,,32,
1979-05-31,,,,,,,,,,,,,,,,460,,,,,,,,,32,,,,,,,32,
1979-06-01,,,,,,,,,,,,,,,,466,,,,,,,,,32,,,,,,,32,
1979-06-02,,,,,,,,,,,,,,,,473,,,,,,,,,32,,,,,,,32,
1979-06-03,,,,,,,,,,,,,,,,475,,,,,,,,,32,,,,,,,32,
1979-06-04,,,,,,,,,,,,,,,,483,,,,,,,,,32,,,,,,,32,
1979-06-05,,,,,,,,,,,,,,,,490,,,,,,,,,32,,,,,,,32,
1979-06-06,,,,,,,,,,,,,,,,494,,,,,,,,,32,,,,,,,32,
1979-06-07,,,,,,,,,,,,,,,,498,,,,,,,,,32,,,,,,,32,
